arm,persona,session_num,helpfulness,personalization_hit,turns_per_session,correction_rate,satisfaction_score,frustration_rate,conciseness,task_completed,response_accepted,format_match,session_id
continuation,olena,s01,3.28,0.0,18,0.0,,,,,,,agent:main:exp-olena-cont-s01_sales_analysis-f323ea05
continuation,olena,s02,2.51,0.43,37,0.22,,,,,,,agent:main:exp-olena-cont-s02_dirty_data-12d959a2
continuation,olena,s03,3.36,0.43,28,0.04,,,,,,,agent:main:exp-olena-cont-s03_monthly_report-e803dea2
continuation,olena,s04,2.93,0.0,15,0.0,,,,,,,agent:main:exp-olena-cont-s04_slow_query-b58030ed
continuation,olena,s05,3.24,0.41,37,0.14,,,,,,,agent:main:exp-olena-cont-s05_churn_analysis-d81bccb3
continuation,olena,s06,3.53,0.97,34,0.09,,,,,,,agent:main:exp-olena-cont-s06_pipeline_failure-2b08b242
continuation,olena,s07,2.32,0.75,28,0.21,,,,,,,agent:main:exp-olena-cont-s07_ab_test-87705b37
continuation,olena,s08,3.06,0.89,36,0.17,,,,,,,agent:main:exp-olena-cont-s08_data_discrepancy-950cc717
continuation,olena,s09,2.69,0.97,36,0.14,,,,,,,agent:main:exp-olena-cont-s09_automate_report-7c11b575
continuation,olena,s10,1.42,0.97,36,0.64,,,,,,,agent:main:exp-olena-cont-s10_holdout_quarterly_summary-5f8807c9
continuation,aisha,s01,2.9393939393939394,0.1818181818181818,33,0.0606060606060606,0.5151515151515151,0.0,2.696969696969697,0.0,0.4545454545454545,0.4242424242424242,agent:main:exp-aisha-cont-s01_broken_script-0836b7c8
continuation,aisha,s02,3.2972972972972974,0.3513513513513513,37,0.054054054054054,0.6081081081081081,0.0,3.45945945945946,0.054054054054054,0.6486486486486487,0.6756756756756757,agent:main:exp-aisha-cont-s02_dependency_chaos-f82d76af
continuation,aisha,s03,3.1621621621621623,0.027027027027027,37,0.1081081081081081,0.5,0.0,3.108108108108108,0.081081081081081,0.4864864864864865,0.4324324324324324,agent:main:exp-aisha-cont-s03_merge_conflict-5282596f
continuation,aisha,s04,2.56,0.52,25,0.08,0.5,0.0,3.0,0.04,0.6,0.4,agent:main:exp-aisha-cont-s04_sqlite_query-b02d6d71
continuation,aisha,s05,3.1818181818181817,0.1363636363636363,22,0.0,0.5,0.0,3.409090909090909,0.0,0.5454545454545454,0.5454545454545454,agent:main:exp-aisha-cont-s05_failing_tests-6d0e3ac4
continuation,aisha,s06,2.3684210526315788,0.6842105263157895,38,0.2105263157894736,0.5,0.0,2.5,0.0,0.1578947368421052,0.0789473684210526,agent:main:exp-aisha-cont-s06_slow_api-93b4e1f5
continuation,aisha,s07,3.189189189189189,0.3783783783783784,37,0.081081081081081,0.5135135135135135,0.0,3.054054054054054,0.081081081081081,0.5675675675675675,0.5405405405405406,agent:main:exp-aisha-cont-s07_docker_debug-2e1edac8
continuation,aisha,s08,3.193548387096774,0.1935483870967742,31,0.0,0.5,0.0,3.3225806451612905,0.0,0.6451612903225806,0.4193548387096774,agent:main:exp-aisha-cont-s08_pandas_bug-dc8a0264
continuation,aisha,s09,2.5428571428571427,0.7714285714285715,35,0.1142857142857142,0.5,0.0,2.742857142857143,0.0571428571428571,0.3142857142857143,0.1714285714285714,agent:main:exp-aisha-cont-s09_circular_import-385950ca
continuation,aisha,s10,1.0,0.0,15,0.6666666666666666,0.5,0.0,1.0,0.0,0.0,0.0,agent:main:exp-aisha-cont-s10_holdout_code_review-b9875e5c
continuation,sofia,s01,3.888888888888889,0.5555555555555556,9,0.0,0.6111111111111112,0.0,4.0,0.0,1.0,1.0,agent:main:exp-sofia-cont-s01_video_script-ae25c331
continuation,sofia,s02,2.9642857142857144,0.8214285714285714,28,0.1785714285714285,0.5357142857142857,0.0,3.0357142857142856,0.0714285714285714,0.5,0.2857142857142857,agent:main:exp-sofia-cont-s02_content_calendar-07c180dc
continuation,sofia,s03,2.2,0.0666666666666666,15,0.0,0.4666666666666667,0.0666666666666666,2.6,0.0,0.0,0.0,agent:main:exp-sofia-cont-s03_thumbnail_concepts-f69b11e9
continuation,sofia,s04,3.5357142857142856,0.3214285714285714,28,0.0357142857142857,0.625,0.0,3.5,0.3214285714285714,0.6785714285714286,0.5714285714285714,agent:main:exp-sofia-cont-s04_seo_descriptions-65acaac8
continuation,sofia,s05,3.5454545454545454,0.5909090909090909,22,0.0,0.5681818181818182,0.0,4.045454545454546,0.1363636363636363,0.7727272727272727,0.7727272727272727,agent:main:exp-sofia-cont-s05_instagram_carousel-904b8a7e
continuation,sofia,s06,2.875,0.5,16,0.25,0.53125,0.0,2.8125,0.0,0.5,0.5,agent:main:exp-sofia-cont-s06_series_brainstorm-cb38bf8a
continuation,sofia,s07,4.1,0.6,10,0.0,0.65,0.0,4.3,0.3,1.0,1.0,agent:main:exp-sofia-cont-s07_email_newsletter-3293b786
continuation,sofia,s08,3.363636363636364,0.8181818181818182,22,0.0,0.5681818181818182,0.0,3.272727272727273,0.0,0.5,0.5,agent:main:exp-sofia-cont-s08_media_kit-c2d449c3
continuation,sofia,s09,2.5357142857142856,0.5,28,0.1428571428571428,0.5892857142857143,0.0,2.75,0.0,0.2142857142857142,0.1785714285714285,agent:main:exp-sofia-cont-s09_thumbnail_prompts-5dce438d
continuation,sofia,s10,3.733333333333333,0.4,15,0.0,0.5666666666666667,0.0,3.933333333333333,0.1333333333333333,0.9333333333333332,0.8,agent:main:exp-sofia-cont-s10_holdout_collab-1fc273e6
